State,Year,Month,TelehealthType,ServiceType,ServiceCount,RatePer1000Beneficiaries,DataQuality
Alabama,2018,201809,Other telehealth,All, -   ,0,
Alabama,2018,201809,Remote patient monitoring,All, -   ,0,
Alabama,2018,201809,Store and forward,All, -   ,0,
Alabama,2018,201810,Live audio/video,All," 2,309 ",1.8,
Alabama,2018,201810,Other telehealth,All, -   ,0,
Alabama,2018,201810,Remote patient monitoring,All, DS ,DS,
Alabama,2018,201810,Store and forward,All, DS ,DS,
Alabama,2018,201811,Live audio/video,All," 2,200 ",1.7,
Alabama,2018,201811,Other telehealth,All, -   ,0,
Alabama,2018,201811,Remote patient monitoring,All, -   ,0,
Alabama,2018,201811,Store and forward,All, -   ,0,
Alabama,2018,201812,Live audio/video,All," 2,051 ",1.6,
Alabama,2018,201812,Other telehealth,All, -   ,0,
Alabama,2018,201812,Remote patient monitoring,All, DS ,DS,
Alabama,2018,201812,Store and forward,All, -   ,0,
Alabama,2019,201901,Live audio/video,All," 2,500 ",1.9,
Alabama,2019,201901,Other telehealth,All, -   ,0,
Alabama,2019,201901,Remote patient monitoring,All, DS ,DS,
Alabama,2019,201901,Store and forward,All, -   ,0,
Alabama,2019,201902,Live audio/video,All," 2,255 ",1.7,
Alabama,2019,201902,Other telehealth,All, -   ,0,
Alabama,2019,201902,Remote patient monitoring,All, 11 ,0,
Alabama,2019,201902,Store and forward,All, DS ,DS,
Alabama,2019,201903,Live audio/video,All," 2,312 ",1.8,
Alabama,2019,201903,Other telehealth,All, -   ,0,
Alabama,2019,201903,Remote patient monitoring,All, DS ,DS,
Alabama,2019,201903,Store and forward,All, -   ,0,
Alabama,2019,201904,Live audio/video,All," 2,672 ",2.0,
Alabama,2019,201904,Other telehealth,All, DS ,DS,
Alabama,2019,201904,Remote patient monitoring,All, 14 ,0,
Alabama,2019,201904,Store and forward,All, DS ,DS,
Alabama,2019,201905,Live audio/video,All," 2,410 ",1.8,
Alabama,2019,201905,Other telehealth,All, DS ,DS,
Alabama,2019,201905,Remote patient monitoring,All, 20 ,0,
Alabama,2019,201905,Store and forward,All, DS ,DS,
Alabama,2019,201906,Live audio/video,All," 2,283 ",1.8,
Alabama,2019,201906,Other telehealth,All, -   ,0,
Alabama,2019,201906,Remote patient monitoring,All, 19 ,0,
Alabama,2019,201906,Store and forward,All, -   ,0,
Alabama,2019,201907,Live audio/video,All," 2,588 ",2.0,
Alabama,2019,201907,Other telehealth,All, -   ,0,
Alabama,2019,201907,Remote patient monitoring,All, 37 ,0,
Alabama,2019,201907,Store and forward,All, DS ,DS,
Alabama,2019,201908,Live audio/video,All," 2,560 ",1.9,
Alabama,2019,201908,Other telehealth,All, DS ,DS,
Alabama,2019,201908,Remote patient monitoring,All, 34 ,0,
Alabama,2019,201908,Store and forward,All, -   ,0,
Alabama,2019,201909,Live audio/video,All," 2,397 ",1.8,
Alabama,2019,201909,Other telehealth,All, DS ,DS,
Alabama,2019,201909,Remote patient monitoring,All, 26 ,0,
Alabama,2019,201909,Store and forward,All, -   ,0,
Alabama,2019,201910,Live audio/video,All," 2,435 ",1.8,
Alabama,2019,201910,Other telehealth,All, DS ,DS,
Alabama,2019,201910,Remote patient monitoring,All, 60 ,0,
Alabama,2019,201910,Store and forward,All, -   ,0,
Alabama,2019,201911,Live audio/video,All," 2,186 ",1.7,
Alabama,2019,201911,Other telehealth,All, DS ,DS,
Alabama,2019,201911,Remote patient monitoring,All, 63 ,0,
Alabama,2019,201911,Store and forward,All, -   ,0,
Alabama,2019,201912,Live audio/video,All," 2,025 ",1.6,
Alabama,2019,201912,Other telehealth,All, -   ,0,
Alabama,2019,201912,Remote patient monitoring,All, 80 ,0,
Alabama,2019,201912,Store and forward,All, -   ,0,
Alabama,2020,202001,Live audio/video,All," 2,500 ",2.0,
Alabama,2020,202001,Other telehealth,All, DS ,DS,
Alabama,2020,202001,Remote patient monitoring,All, 63 ,0,
Alabama,2020,202001,Store and forward,All, DS ,DS,
Alabama,2020,202002,Live audio/video,All," 2,395 ",2.0,
Alabama,2020,202002,Other telehealth,All, DS ,DS,
Alabama,2020,202002,Remote patient monitoring,All, 90 ,0,
Alabama,2020,202002,Store and forward,All, DS ,DS,
Alabama,2020,202003,Live audio/video,All," 33,629 ",28.6,
Alabama,2020,202003,Other telehealth,All, 126 ,0,
Alabama,2020,202003,Remote patient monitoring,All, 102 ,0,
Alabama,2020,202003,Store and forward,All, 40 ,0,
Alabama,2020,202004,Live audio/video,All," 125,908 ",106.3,
Alabama,2020,202004,Other telehealth,All, 324 ,0,
Alabama,2020,202004,Remote patient monitoring,All, 103 ,0,
Alabama,2020,202004,Store and forward,All, 141 ,0,
Alabama,2020,202005,Live audio/video,All," 96,358 ",80.7,
Alabama,2020,202005,Other telehealth,All, 129 ,0,
Alabama,2020,202005,Remote patient monitoring,All, 110 ,0,
Alabama,2020,202005,Store and forward,All, 37 ,0,
Alabama,2020,202006,Live audio/video,All," 81,155 ",67.3,
Alabama,2020,202006,Other telehealth,All, 86 ,0,
Alabama,2020,202006,Remote patient monitoring,All, 112 ,0,
Alabama,2020,202006,Store and forward,All, 30 ,0,
Alabama,2020,202007,Live audio/video,All," 83,643 ",68.8,
Alabama,2020,202007,Other telehealth,All, 93 ,0,
Alabama,2020,202007,Remote patient monitoring,All, 126 ,0,
Alabama,2020,202007,Store and forward,All, 21 ,0,
Alabama,2020,202008,Live audio/video,All," 77,439 ",63.1,
Alabama,2020,202008,Other telehealth,All, 86 ,0,
Alabama,2020,202008,Remote patient monitoring,All, 147 ,0,
Alabama,2020,202008,Store and forward,All, 14 ,0,
Alabama,2020,202009,Live audio/video,All," 70,546 ",57.3,
Alabama,2020,202009,Other telehealth,All, 86 ,0,
Alabama,2020,202009,Remote patient monitoring,All, 106 ,0,
Alabama,2020,202009,Store and forward,All, DS ,DS,
Alabama,2020,202010,Live audio/video,All," 61,123 ",49.4,
Alabama,2020,202010,Other telehealth,All, 41 ,0,
Alabama,2020,202010,Remote patient monitoring,All, 177 ,0,
Alabama,2020,202010,Store and forward,All, DS ,DS,
Alabama,2020,202011,Live audio/video,All," 56,855 ",45.7,
Alabama,2020,202011,Other telehealth,All, 48 ,0,
Alabama,2020,202011,Remote patient monitoring,All, 163 ,0,
Alabama,2020,202011,Store and forward,All, DS ,DS,
Alabama,2020,202012,Live audio/video,All," 61,869 ",49.3,
Alabama,2020,202012,Other telehealth,All, 106 ,0,
Alabama,2020,202012,Remote patient monitoring,All, 181 ,0,
Alabama,2020,202012,Store and forward,All, 17 ,0,
Alabama,2021,202101,Live audio/video,All," 63,258 ",50.1,
Alabama,2021,202101,Other telehealth,All, 82 ,0,
Alabama,2021,202101,Remote patient monitoring,All, 168 ,0,
Alabama,2021,202101,Store and forward,All, DS ,DS,
Alabama,2021,202102,Live audio/video,All," 59,037 ",46.5,
Alabama,2021,202102,Other telehealth,All, 45 ,0,
Alabama,2021,202102,Remote patient monitoring,All, 156 ,0,
Alabama,2021,202102,Store and forward,All, 11 ,0,
Alabama,2021,202103,Live audio/video,All," 59,312 ",46.4,
Alabama,2021,202103,Other telehealth,All, 29 ,0,
Alabama,2021,202103,Remote patient monitoring,All, 120 ,0,
Alabama,2021,202103,Store and forward,All, DS ,DS,
Alabama,2021,202104,Live audio/video,All," 51,657 ",40.1,
Alabama,2021,202104,Other telehealth,All, 25 ,0,
Alabama,2021,202104,Remote patient monitoring,All, 142 ,0,
Alabama,2021,202104,Store and forward,All, DS ,DS,
Alabama,2021,202105,Live audio/video,All," 42,650 ",32.8,
Alabama,2021,202105,Other telehealth,All, 18 ,0,
Alabama,2021,202105,Remote patient monitoring,All, 139 ,0,
Alabama,2021,202105,Store and forward,All, DS ,DS,
Alabama,2021,202106,Live audio/video,All," 37,931 ",29.0,
Alabama,2021,202106,Other telehealth,All, 21 ,0,
Alabama,2021,202106,Remote patient monitoring,All, 134 ,0,
Alabama,2021,202106,Store and forward,All, 12 ,0,
Alabama,2021,202107,Live audio/video,All," 33,616 ",25.6,
Alabama,2021,202107,Other telehealth,All, 25 ,0,
Alabama,2021,202107,Remote patient monitoring,All, 158 ,0,
Alabama,2021,202107,Store and forward,All, DS ,DS,
Alabama,2021,202108,Live audio/video,All," 44,708 ",33.9,
Alabama,2021,202108,Other telehealth,All, 35 ,0,
Alabama,2021,202108,Remote patient monitoring,All, 178 ,0,
Alabama,2021,202108,Store and forward,All, 12 ,0,
Alabama,2021,202109,Live audio/video,All," 43,067 ",32.5,
Alabama,2021,202109,Other telehealth,All, 42 ,0,
Alabama,2021,202109,Remote patient monitoring,All, 171 ,0,
Alabama,2021,202109,Store and forward,All, DS ,DS,
Alabama,2021,202110,Live audio/video,All," 36,946 ",27.7,
Alabama,2021,202110,Other telehealth,All, 13 ,0,
Alabama,2021,202110,Remote patient monitoring,All, 183 ,0,
Alabama,2021,202110,Store and forward,All, 12 ,0,
Alabama,2021,202111,Live audio/video,All," 34,802 ",26.0,
Alabama,2021,202111,Other telehealth,All, 22 ,0,
Alabama,2021,202111,Remote patient monitoring,All, 204 ,0,
Alabama,2021,202111,Store and forward,All, 18 ,0,
Alabama,2021,202112,Live audio/video,All," 32,553 ",24.2,
Alabama,2021,202112,Other telehealth,All, 14 ,0,
Alabama,2021,202112,Remote patient monitoring,All, 208 ,0,
Alabama,2021,202112,Store and forward,All, 14 ,0,
Alabama,2022,202201,Live audio/video,All," 46,420 ",34.1,
Alabama,2022,202201,Other telehealth,All, 18 ,0,
Alabama,2022,202201,Remote patient monitoring,All, 192 ,0,
Alabama,2022,202201,Store and forward,All, 22 ,0,
Alabama,2022,202202,Live audio/video,All," 36,332 ",26.6,
Alabama,2022,202202,Other telehealth,All, DS ,DS,
Alabama,2022,202202,Remote patient monitoring,All, 172 ,0,
Alabama,2022,202202,Store and forward,All, 14 ,0,
Alabama,2022,202203,Live audio/video,All," 35,056 ",25.5,
Alabama,2022,202203,Other telehealth,All, DS ,DS,
Alabama,2022,202203,Remote patient monitoring,All, 186 ,0,
Alabama,2022,202203,Store and forward,All, 15 ,0,
Alabama,2022,202204,Live audio/video,All," 29,497 ",21.4,
Alabama,2022,202204,Other telehealth,All, DS ,DS,
Alabama,2022,202204,Remote patient monitoring,All, 208 ,0,
Alabama,2022,202204,Store and forward,All, DS ,DS,
Alabama,2022,202205,Live audio/video,All," 29,362 ",21.2,
Alabama,2022,202205,Other telehealth,All, DS ,DS,
Alabama,2022,202205,Remote patient monitoring,All, 222 ,0,
Alabama,2022,202205,Store and forward,All, 19 ,0,
Alabama,2022,202206,Live audio/video,All," 29,523 ",21.2,
Alabama,2022,202206,Other telehealth,All, DS ,DS,
Alabama,2022,202206,Remote patient monitoring,All, 196 ,0,
Alabama,2022,202206,Store and forward,All, 14 ,0,
Alabama,2022,202207,Live audio/video,All," 27,681 ",19.8,
Alabama,2022,202207,Other telehealth,All, DS ,DS,
Alabama,2022,202207,Remote patient monitoring,All, 228 ,0,
Alabama,2022,202207,Store and forward,All, 13 ,0,
Alabama,2022,202208,Live audio/video,All," 30,609 ",21.7,
Alabama,2022,202208,Other telehealth,All, DS ,DS,
Alabama,2022,202208,Remote patient monitoring,All, 228 ,0,
Alabama,2022,202208,Store and forward,All, 12 ,0,
Alabama,2022,202209,Live audio/video,All," 25,836 ",18.3,
Alabama,2022,202209,Other telehealth,All, DS ,DS,
Alabama,2022,202209,Remote patient monitoring,All, 200 ,0,
Alabama,2022,202209,Store and forward,All, DS ,DS,
Alabama,2022,202210,Live audio/video,All," 24,654 ",17.4,
Alabama,2022,202210,Other telehealth,All, DS ,DS,
Alabama,2022,202210,Remote patient monitoring,All, 194 ,0,
Alabama,2022,202210,Store and forward,All, DS ,DS,
Alabama,2022,202211,Live audio/video,All," 23,313 ",16.3,
Alabama,2022,202211,Other telehealth,All, DS ,DS,
Alabama,2022,202211,Remote patient monitoring,All, 228 ,0,
Alabama,2022,202211,Store and forward,All, -   ,0,
Alabama,2022,202212,Live audio/video,All," 20,140 ",14.0,
Alabama,2022,202212,Other telehealth,All, DS ,DS,
Alabama,2022,202212,Remote patient monitoring,All, 237 ,0,
Alabama,2022,202212,Store and forward,All, -   ,0,
Alaska,2018,201801,Live audio/video,All, 907 ,4.3,
Alaska,2018,201801,Other telehealth,All, -   ,0,
Alaska,2018,201801,Remote patient monitoring,All, -   ,0,
Alaska,2018,201801,Store and forward,All, 459 ,2.2,
Alaska,2018,201802,Live audio/video,All, 858 ,4.0,
Alaska,2018,201802,Other telehealth,All, -   ,0,
Alaska,2018,201802,Remote patient monitoring,All, DS ,DS,
Alaska,2018,201802,Store and forward,All, 406 ,1.9,
Alaska,2018,201803,Live audio/video,All," 1,039 ",4.8,
Alaska,2018,201803,Other telehealth,All, -   ,0,
Alaska,2018,201803,Remote patient monitoring,All, DS ,DS,
Alaska,2018,201803,Store and forward,All, 433 ,2.0,
Alaska,2018,201804,Live audio/video,All, 977 ,4.5,
Alaska,2018,201804,Other telehealth,All, -   ,0,
Alaska,2018,201804,Remote patient monitoring,All, -   ,0,
Alaska,2018,201804,Store and forward,All, 378 ,1.8,
Alaska,2018,201805,Live audio/video,All," 1,260 ",5.8,
Alaska,2018,201805,Other telehealth,All, -   ,0,
Alaska,2018,201805,Remote patient monitoring,All, -   ,0,
Alaska,2018,201805,Store and forward,All, 440 ,2.0,
Alaska,2018,201806,Live audio/video,All," 1,015 ",4.6,
Alaska,2018,201806,Other telehealth,All, -   ,0,
Alaska,2018,201806,Remote patient monitoring,All, -   ,0,
Alaska,2018,201806,Store and forward,All, 389 ,1.8,
Alaska,2018,201807,Live audio/video,All," 1,065 ",4.9,
Alaska,2018,201807,Other telehealth,All, -   ,0,
Alaska,2018,201807,Remote patient monitoring,All, -   ,0,
Alaska,2018,201807,Store and forward,All, 415 ,1.9,
Alaska,2018,201808,Live audio/video,All," 1,177 ",5.3,
Alaska,2018,201808,Other telehealth,All, -   ,0,
Alaska,2018,201808,Remote patient monitoring,All, -   ,0,
Alaska,2018,201808,Store and forward,All, 445 ,2.0,
Alaska,2018,201809,Live audio/video,All," 1,037 ",4.7,
Alaska,2018,201809,Other telehealth,All, -   ,0,
Alaska,2018,201809,Remote patient monitoring,All, -   ,0,
Alaska,2018,201809,Store and forward,All, 344 ,1.6,
Alaska,2018,201810,Live audio/video,All," 1,248 ",5.6,
Alaska,2018,201810,Other telehealth,All, DS ,DS,
Alaska,2018,201810,Remote patient monitoring,All, -   ,0,
Alaska,2018,201810,Store and forward,All, 551 ,2.5,
Alaska,2018,201811,Live audio/video,All," 1,121 ",5.0,
Alaska,2018,201811,Other telehealth,All, -   ,0,
Alaska,2018,201811,Remote patient monitoring,All, -   ,0,
Alaska,2018,201811,Store and forward,All, 347 ,1.6,
Alaska,2018,201812,Live audio/video,All," 1,098 ",4.9,
Alaska,2018,201812,Other telehealth,All, -   ,0,
Alaska,2018,201812,Remote patient monitoring,All, -   ,0,
Alaska,2018,201812,Store and forward,All, 361 ,1.6,
Alaska,2019,201901,Live audio/video,All," 1,168 ",5.2,
Alaska,2019,201901,Other telehealth,All, -   ,0,
Alaska,2019,201901,Remote patient monitoring,All, DS ,DS,
Alaska,2019,201901,Store and forward,All, 489 ,2.2,
Alaska,2019,201902,Live audio/video,All," 1,119 ",5.0,
Alaska,2019,201902,Other telehealth,All, -   ,0,
Alaska,2019,201902,Remote patient monitoring,All, -   ,0,
Alaska,2019,201902,Store and forward,All, 430 ,1.9,
Alaska,2019,201903,Live audio/video,All," 1,264 ",5.6,
Alaska,2019,201903,Other telehealth,All, -   ,0,
Alaska,2019,201903,Remote patient monitoring,All, -   ,0,
Alaska,2019,201903,Store and forward,All, 477 ,2.1,
Alaska,2019,201904,Live audio/video,All," 1,425 ",6.3,
Alaska,2019,201904,Other telehealth,All, -   ,0,
Alaska,2019,201904,Remote patient monitoring,All, DS ,DS,
Alaska,2019,201904,Store and forward,All, 539 ,2.4,
Alaska,2019,201905,Live audio/video,All," 1,538 ",6.8,
Alaska,2019,201905,Other telehealth,All, -   ,0,
Alaska,2019,201905,Remote patient monitoring,All, -   ,0,
Alaska,2019,201905,Store and forward,All, 589 ,2.6,
Alaska,2019,201906,Live audio/video,All," 1,196 ",5.3,
Alaska,2019,201906,Other telehealth,All, -   ,0,
Alaska,2019,201906,Remote patient monitoring,All, -   ,0,
Alaska,2019,201906,Store and forward,All, 542 ,2.4,
Alaska,2019,201907,Live audio/video,All," 1,541 ",6.8,
Alaska,2019,201907,Other telehealth,All, DS ,DS,
Alaska,2019,201907,Remote patient monitoring,All, -   ,0,
Alaska,2019,201907,Store and forward,All, 628 ,2.8,
Alaska,2019,201908,Live audio/video,All," 1,525 ",6.7,
Alaska,2019,201908,Other telehealth,All, -   ,0,
Alaska,2019,201908,Remote patient monitoring,All, -   ,0,
Alaska,2019,201908,Store and forward,All, 508 ,2.2,
Alaska,2019,201909,Live audio/video,All," 1,522 ",6.6,
Alaska,2019,201909,Other telehealth,All, -   ,0,
Alaska,2019,201909,Remote patient monitoring,All, DS ,DS,
Alaska,2019,201909,Store and forward,All, 500 ,2.2,
Alaska,2019,201910,Live audio/video,All," 1,660 ",7.2,
Alaska,2019,201910,Other telehealth,All, -   ,0,
Alaska,2019,201910,Remote patient monitoring,All, -   ,0,
Alaska,2019,201910,Store and forward,All, 583 ,2.5,
Alaska,2019,201911,Live audio/video,All," 1,488 ",6.5,
Alaska,2019,201911,Other telehealth,All, -   ,0,
Alaska,2019,201911,Remote patient monitoring,All, -   ,0,
Alaska,2019,201911,Store and forward,All, 438 ,1.9,
Alaska,2019,201912,Live audio/video,All," 1,524 ",6.6,
Alaska,2019,201912,Other telehealth,All, DS ,DS,
Alaska,2019,201912,Remote patient monitoring,All, DS ,DS,
Alaska,2019,201912,Store and forward,All, 448 ,1.9,
Alaska,2020,202001,Live audio/video,All," 1,855 ",8.0,
Alaska,2020,202001,Other telehealth,All, DS ,DS,
Alaska,2020,202001,Remote patient monitoring,All, -   ,0,
Alaska,2020,202001,Store and forward,All, 553 ,2.4,
Alaska,2020,202002,Live audio/video,All," 1,715 ",7.4,
Alaska,2020,202002,Other telehealth,All, -   ,0,
Alaska,2020,202002,Remote patient monitoring,All, DS ,DS,
Alaska,2020,202002,Store and forward,All, 535 ,2.3,
Alaska,2020,202003,Live audio/video,All," 11,784 ",50.5,
Alaska,2020,202003,Other telehealth,All, 82 ,0,
Alaska,2020,202003,Remote patient monitoring,All, -   ,0,
Alaska,2020,202003,Store and forward,All, 514 ,2.2,
Alaska,2020,202004,Live audio/video,All," 45,504 ",194.0,
Alaska,2020,202004,Other telehealth,All, 156 ,0.7,
Alaska,2020,202004,Remote patient monitoring,All, DS ,DS,
Alaska,2020,202004,Store and forward,All, 334 ,1.4,
Alaska,2020,202005,Live audio/video,All," 36,962 ",157.0,
Alaska,2020,202005,Other telehealth,All, 43 ,0,
Alaska,2020,202005,Remote patient monitoring,All, DS ,DS,
Alaska,2020,202005,Store and forward,All, 349 ,1.5,
Alaska,2020,202006,Live audio/video,All," 31,799 ",134.3,
Alaska,2020,202006,Other telehealth,All, 66 ,0,
Alaska,2020,202006,Remote patient monitoring,All, 11 ,0,
Alaska,2020,202006,Store and forward,All, 301 ,1.3,
Alaska,2020,202007,Live audio/video,All," 29,816 ",125.6,
Alaska,2020,202007,Other telehealth,All, 30 ,0,
Alaska,2020,202007,Remote patient monitoring,All, 32 ,0,
Alaska,2020,202007,Store and forward,All, 309 ,1.3,
Alaska,2020,202008,Live audio/video,All," 29,099 ",121.6,
Alaska,2020,202008,Other telehealth,All, 25 ,0,
Alaska,2020,202008,Remote patient monitoring,All, 23 ,0,
Alaska,2020,202008,Store and forward,All, 358 ,1.5,
Alaska,2020,202009,Live audio/video,All," 31,019 ",129.0,
Alaska,2020,202009,Other telehealth,All, 33 ,0,
Alaska,2020,202009,Remote patient monitoring,All, 20 ,0,
Alaska,2020,202009,Store and forward,All, 306 ,1.3,
Alaska,2020,202010,Live audio/video,All," 33,953 ",140.2,
Alaska,2020,202010,Other telehealth,All, 35 ,0,
Alaska,2020,202010,Remote patient monitoring,All, 21 ,0,
Alaska,2020,202010,Store and forward,All, 289 ,1.2,
Alaska,2020,202011,Live audio/video,All," 33,922 ",139.0,
Alaska,2020,202011,Other telehealth,All, 33 ,0,
Alaska,2020,202011,Remote patient monitoring,All, 19 ,0,
Alaska,2020,202011,Store and forward,All, 162 ,0.7,
Alaska,2020,202012,Live audio/video,All," 37,183 ",150.8,
Alaska,2020,202012,Other telehealth,All, 29 ,0,
Alaska,2020,202012,Remote patient monitoring,All, 15 ,0,
Alaska,2020,202012,Store and forward,All, 259 ,1.1,
Alaska,2021,202101,Live audio/video,All," 34,707 ",140.2,
Alaska,2021,202101,Other telehealth,All, 25 ,0,
Alaska,2021,202101,Remote patient monitoring,All, 18 ,0,
Alaska,2021,202101,Store and forward,All, 210 ,0.8,
Alaska,2021,202102,Live audio/video,All," 32,131 ",129.0,
Alaska,2021,202102,Other telehealth,All, 22 ,0,
Alaska,2021,202102,Remote patient monitoring,All, 15 ,0,
Alaska,2021,202102,Store and forward,All, 172 ,0.7,
Alaska,2021,202103,Live audio/video,All," 32,585 ",130.0,
Alaska,2021,202103,Other telehealth,All, 19 ,0,
Alaska,2021,202103,Remote patient monitoring,All, 16 ,0,
Alaska,2021,202103,Store and forward,All, 238 ,0.9,
Alaska,2021,202104,Live audio/video,All," 28,568 ",113.3,
Alaska,2021,202104,Other telehealth,All, 16 ,0,
Alaska,2021,202104,Remote patient monitoring,All, 19 ,0,
Alaska,2021,202104,Store and forward,All, 213 ,0.8,
Alaska,2021,202105,Live audio/video,All," 23,246 ",91.9,
Alaska,2021,202105,Other telehealth,All, 11 ,0,
Alaska,2021,202105,Remote patient monitoring,All, 21 ,0,
Alaska,2021,202105,Store and forward,All, 186 ,0.7,
Alaska,2021,202106,Live audio/video,All," 21,248 ",83.6,
Alaska,2021,202106,Other telehealth,All, 43 ,0,
Alaska,2021,202106,Remote patient monitoring,All, 22 ,0,
Alaska,2021,202106,Store and forward,All, 113 ,0,
Alaska,2021,202107,Live audio/video,All," 19,048 ",74.7,
Alaska,2021,202107,Other telehealth,All, 20 ,0,
Alaska,2021,202107,Remote patient monitoring,All, 28 ,0,
Alaska,2021,202107,Store and forward,All, 113 ,0,
Alaska,2021,202108,Live audio/video,All," 21,142 ",82.6,
Alaska,2021,202108,Other telehealth,All, DS ,DS,
Alaska,2021,202108,Remote patient monitoring,All, 23 ,0,
Alaska,2021,202108,Store and forward,All, 125 ,0.5,
Alaska,2021,202109,Live audio/video,All," 23,301 ",90.8,
Alaska,2021,202109,Other telehealth,All, DS ,DS,
Alaska,2021,202109,Remote patient monitoring,All, 28 ,0,
Alaska,2021,202109,Store and forward,All, 178 ,0.7,
Alaska,2021,202110,Live audio/video,All," 23,127 ",89.7,
Alaska,2021,202110,Other telehealth,All, 30 ,0,
Alaska,2021,202110,Remote patient monitoring,All, 21 ,0,
Alaska,2021,202110,Store and forward,All, 191 ,0.7,
Alaska,2021,202111,Live audio/video,All," 21,803 ",84.2,
Alaska,2021,202111,Other telehealth,All, 14 ,0,
Alaska,2021,202111,Remote patient monitoring,All, 20 ,0,
Alaska,2021,202111,Store and forward,All, 290 ,1.1,
Alaska,2021,202112,Live audio/video,All," 20,199 ",77.6,
Alaska,2021,202112,Other telehealth,All, DS ,DS,
Alaska,2021,202112,Remote patient monitoring,All, 20 ,0,
Alaska,2021,202112,Store and forward,All, 211 ,0.8,
Alaska,2022,202201,Live audio/video,All," 23,884 ",91.3,
Alaska,2022,202201,Other telehealth,All, DS ,DS,
Alaska,2022,202201,Remote patient monitoring,All, 23 ,0,
Alaska,2022,202201,Store and forward,All, 170 ,0.6,
Alaska,2022,202202,Live audio/video,All," 22,563 ",86.0,
Alaska,2022,202202,Other telehealth,All, 13 ,0,
Alaska,2022,202202,Remote patient monitoring,All, 21 ,0,
Alaska,2022,202202,Store and forward,All, 130 ,0.5,
Alaska,2022,202203,Live audio/video,All," 24,074 ",91.5,
Alaska,2022,202203,Other telehealth,All, 37 ,0,
Alaska,2022,202203,Remote patient monitoring,All, 42 ,0,
Alaska,2022,202203,Store and forward,All, 180 ,0.7,
Alaska,2022,202204,Live audio/video,All," 18,965 ",71.9,
Alaska,2022,202204,Other telehealth,All, 64 ,0,
Alaska,2022,202204,Remote patient monitoring,All, 36 ,0,
Alaska,2022,202204,Store and forward,All, 218 ,0.8,
Alaska,2022,202205,Live audio/video,All," 17,448 ",66.0,
Alaska,2022,202205,Other telehealth,All, 62 ,0,
Alaska,2022,202205,Remote patient monitoring,All, 27 ,0,
Alaska,2022,202205,Store and forward,All, 238 ,0.9,
Alaska,2022,202206,Live audio/video,All," 16,340 ",61.6,
Alaska,2022,202206,Other telehealth,All, 70 ,0,
Alaska,2022,202206,Remote patient monitoring,All, 29 ,0,
Alaska,2022,202206,Store and forward,All, 262 ,1.0,
Alaska,2022,202207,Live audio/video,All," 14,352 ",54.0,
Alaska,2022,202207,Other telehealth,All, 71 ,0,
Alaska,2022,202207,Remote patient monitoring,All, 34 ,0,
Alaska,2022,202207,Store and forward,All, 176 ,0.7,
Alaska,2022,202208,Live audio/video,All," 16,714 ",62.7,
Alaska,2022,202208,Other telehealth,All, 68 ,0,
Alaska,2022,202208,Remote patient monitoring,All, 27 ,0,
Alaska,2022,202208,Store and forward,All, 153 ,0.6,
Alaska,2022,202209,Live audio/video,All," 15,550 ",58.2,
Alaska,2022,202209,Other telehealth,All, 58 ,0,
Alaska,2022,202209,Remote patient monitoring,All, 33 ,0,
Alaska,2022,202209,Store and forward,All, 183 ,0.7,
Alaska,2022,202210,Live audio/video,All," 15,243 ",56.9,
Alaska,2022,202210,Other telehealth,All, 60 ,0,
